portal_page_dept,note,character varing(200),,YES,,備註,,,,V,,
portal_page_dept,is_delete,character varing(1),N,YES,,刪除flag,,V,V,,,
portal_page_dept,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_page_dept,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_page_dept,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_page_dept,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_page_dept,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_page_dept,update_ip,character varing(50),,YES,,異動IP,,,,,,
負責單位人員關聯資料表 portal_page_dept_empy_relation(帳號目錄管理),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_page_dept_empy_relation,page_dept_id,integer,,NO,P,負責單位流水號 (max+1),,V,V,,,
portal_page_dept_empy_relation,empy_id,character varing(20),,NO,P,員工編號,,V,V,,,
portal_page_dept_empy_relation,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_page_dept_empy_relation,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_page_dept_empy_relation,create_ip,character varing(20),,YES,,新增IP,,,,,,
後台目錄模組資料表 portal_program_module(後台目錄管理),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_program_module,program_module_id,character varing(100),,NO,P,模組ID,,V,V,,,
portal_program_module,program_module_name,character varing(30),,NO,P,模組名稱,,V,V,,,
portal_program_module,seq,smallint,1,NO,,排序,,,V,V,,
portal_program_module,note,character varing(200),,YES,,備註,,,,V,,
portal_program_module,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_program_module,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_program_module,create_ip,character varing(50),,YES,,新增IP,,,,,,
管理程式資料表 portal_program(帳號目錄管理),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_program,program_code,character varing(100),,NO,P,管理程式代碼,,V,V,,,
portal_program,program_module_id,character varing(100),,NO,,program_module_id,,V,V,,,
portal_program,program_name,character varing(50),,NO,,管理程式名稱,,,V,V,,
portal_program,seq,smallint,1,NO,,排序,,,V,V,,
portal_program,note,character varing(200),,YES,,備註,,,,V,,
portal_program,is_delete,character varing(1),N,YES,,刪除flag,,V,V,,,
portal_program,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_program,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_program,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_program,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_program,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_program,update_ip,character varing(50),,YES,,異動IP,,,,,,
程式人員關聯資料表 portal_program_empy_relation,,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_program_empy_relation,program_code,character varing(30),,NO,P,管理程式代碼,,V,V,,,
portal_program_empy_relation,empy_id,character varing(20),,NO,P,員工編號,,V,V,,,
portal_program_empy_relation,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_program_empy_relation,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_program_empy_relation,create_ip,character varing(20),,YES,,新增IP,,,,,,
portal_template(Template管理),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_template,template_id,character varing(20),,NO,P,"自訂代碼
(一開始建立一個沒有default,js css的)",,,V,,,
portal_template,template_name,character varing(50),,NO,,template名稱,,V,V,V,,
portal_template,template_attribute,text,,YES,,全局變數 (考慮是否啟用 研討一下 ),,,,V,,
portal_template,note,character varing(200),,YES,,備註,,,,V,,
portal_template,is_delete,character varing(1),N,YES,,刪除flag,,V,V,,,
portal_template,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_template,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_template,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_template,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_template,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_template,update_ip,character varing(50),,YES,,異動IP,,,,,,
item元件資料表 portal_item(元件管理),,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_item,item_id,character varing(20),,NO,P,元件代號,,V,V,,,
portal_item,item_name,character varing(50),,NO,,元件名稱,,V,V,V,,
portal_item,item_image,character varing(200),,NO,,元件示意圖,,,,V,,
portal_item,item_type,character varing(1),,NO,,"h:天
f:地
c:內容元件",,V,V,V,,
portal_item,note,character varing(200),,YES,,備註,,,,V,,
portal_item,is_delete,character varing(1),N,YES,,刪除flag,,V,V,,,
portal_item,create_user,character varing(100),,YES,,新增人員,,,V,,,
portal_item,create_date,timestamp without time zone,,YES,,建立時間,,,V,,,
portal_item,create_ip,character varing(50),,YES,,新增IP,,,,,,
portal_item,update_user,character varing(100),,YES,,異動人員,,,,,,
portal_item,update_date,timestamp without time zone,,YES,,最後更新日,,,,,,
portal_item,update_ip,character varing(50),,YES,,異動IP,,,,,,
元件屬性資料資料表 portal_item_attribute,,,,,,,註解,查詢欄位,列表,可編輯,,
資料表,欄位,格式,預設,,P/I,說明,,查詢欄位,列表,可編輯,,
portal_item_attribute,item_id,character varing(20),,NO,P,元件代號,,,,,,
portal_item_attribute,item_attribute_type,character varing(1),,NO,P,"屬性類型
T : 文字
U  : 超連結
D : 日期
H : HTML
I : 圖檔
F : 貼標 (固定:Y/N 兩個選項可選 ， 可運用在元件中其中一個區塊是否要顯示或資料有效 )",,,,,,
portal_item_attribute,item_attribute_seq,integer,1,NO,P,seq,,,,,,
portal_item_attribute,item_attribute_name,character varing(20),,NO,,屬性名稱,,,,,,
portal_item_attribute,note,character varing(200),,YES,,備註 (使用方法),,,,V,,
